customerUniqueId,customerContractOneId,customerOneId,isParentOf,manufacturerOneId,manufacturerUniqueId,partNameCustomer,partNameManufacturer,partNumberCustomer,partNumberManufacturer,productionCountryCode,productionDateGmt,qualityAlert,qualityType,manufacturerContractOneId,uniqueId
Partner_00002_BILSTEIN_1,,Partner_00004_ZF,['Partner_ERROR_CP_6'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_1,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_1
Partner_00002_BILSTEIN_3,,Partner_00004_ZF,['Partner_ERROR_CP_15'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_3,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_3
Partner_00002_BILSTEIN_5,,Partner_00004_ZF,['Partner_ERROR_CP_24'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_5,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_5
Partner_00002_BILSTEIN_7,,Partner_00004_ZF,['Partner_ERROR_CP_33'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_7,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_7
Partner_00002_BILSTEIN_9,,Partner_00004_ZF,['Partner_ERROR_CP_42'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_9,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_9
Partner_00002_BILSTEIN_11,,Partner_00004_ZF,['Partner_ERROR_CP_51'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_11,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_11
Partner_00002_BILSTEIN_13,,Partner_00004_ZF,['Partner_ERROR_CP_60'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_13,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_13
Partner_00002_BILSTEIN_15,,Partner_00004_ZF,['Partner_ERROR_CP_69'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_15,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_15
Partner_00002_BILSTEIN_17,,Partner_00004_ZF,['Partner_ERROR_CP_78'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_17,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_17
Partner_00002_BILSTEIN_19,,Partner_00004_ZF,['Partner_ERROR_CP_87'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_19,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_19
Partner_00002_BILSTEIN_21,,Partner_00004_ZF,['Partner_ERROR_CP_96'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_21,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_21
Partner_00002_BILSTEIN_23,,Partner_00004_ZF,['Partner_ERROR_CP_105'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_23,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_23
Partner_00002_BILSTEIN_25,,Partner_00004_ZF,['Partner_ERROR_CP_114'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_25,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_25
Partner_00002_BILSTEIN_27,,Partner_00004_ZF,['Partner_ERROR_CP_123'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_27,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_27
Partner_00002_BILSTEIN_29,,Partner_00004_ZF,['Partner_ERROR_CP_132'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_29,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_29
Partner_00002_BILSTEIN_31,,Partner_00004_ZF,['Partner_ERROR_CP_141'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_31,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_31
Partner_00002_BILSTEIN_33,,Partner_00004_ZF,['Partner_ERROR_CP_150'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_33,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_33
Partner_00002_BILSTEIN_35,,Partner_00004_ZF,['Partner_ERROR_CP_159'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_35,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_35
Partner_00002_BILSTEIN_37,,Partner_00004_ZF,['Partner_ERROR_CP_168'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_37,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_37
Partner_00002_BILSTEIN_39,,Partner_00004_ZF,['Partner_ERROR_CP_177'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_39,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_39
Partner_00002_BILSTEIN_41,,Partner_00004_ZF,['Partner_ERROR_CP_186'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_41,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_41
Partner_00002_BILSTEIN_43,,Partner_00004_ZF,['Partner_ERROR_CP_195'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_43,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_43
Partner_00002_BILSTEIN_45,,Partner_00004_ZF,['Partner_ERROR_CP_204'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_45,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_45
Partner_00002_BILSTEIN_47,,Partner_00004_ZF,['Partner_ERROR_CP_213'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_47,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_47
Partner_00002_BILSTEIN_49,,Partner_00004_ZF,['Partner_ERROR_CP_222'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_49,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_49
Partner_00002_BILSTEIN_51,,Partner_00004_ZF,['Partner_ERROR_CP_231'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_51,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_51
Partner_00002_BILSTEIN_53,,Partner_00004_ZF,['Partner_ERROR_CP_240'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_53,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_53
Partner_00002_BILSTEIN_55,,Partner_00004_ZF,['Partner_ERROR_CP_249'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_55,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_55
Partner_00002_BILSTEIN_57,,Partner_00004_ZF,['Partner_ERROR_CP_258'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_57,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_57
Partner_00002_BILSTEIN_59,,Partner_00004_ZF,['Partner_ERROR_CP_267'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_59,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_59
Partner_00002_BILSTEIN_61,,Partner_00004_ZF,['Partner_ERROR_CP_276'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_61,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_61
Partner_00002_BILSTEIN_63,,Partner_00004_ZF,['Partner_ERROR_CP_285'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_63,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_63
Partner_00002_BILSTEIN_65,,Partner_00004_ZF,['Partner_ERROR_CP_294'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_65,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_65
Partner_00002_BILSTEIN_67,,Partner_00004_ZF,['Partner_ERROR_CP_303'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_67,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_67
Partner_00002_BILSTEIN_69,,Partner_00004_ZF,['Partner_ERROR_CP_312'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_69,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_69
Partner_00002_BILSTEIN_71,,Partner_00004_ZF,['Partner_ERROR_CP_321'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_71,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_71
Partner_00002_BILSTEIN_73,,Partner_00004_ZF,['Partner_ERROR_CP_330'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_73,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_73
Partner_00002_BILSTEIN_75,,Partner_00004_ZF,['Partner_ERROR_CP_339'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_75,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_75
Partner_00002_BILSTEIN_77,,Partner_00004_ZF,['Partner_ERROR_CP_348'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_77,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_77
Partner_00002_BILSTEIN_79,,Partner_00004_ZF,['Partner_ERROR_CP_357'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_79,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_79
Partner_00002_BILSTEIN_81,,Partner_00004_ZF,['Partner_ERROR_CP_366'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_81,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_81
Partner_00002_BILSTEIN_83,,Partner_00004_ZF,['Partner_ERROR_CP_375'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_83,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_83
Partner_00002_BILSTEIN_85,,Partner_00004_ZF,['Partner_ERROR_CP_384'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_85,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_85
Partner_00002_BILSTEIN_87,,Partner_00004_ZF,['Partner_ERROR_CP_393'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_87,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_87
Partner_00002_BILSTEIN_89,,Partner_00004_ZF,['Partner_ERROR_CP_402'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_89,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_89
Partner_00002_BILSTEIN_91,,Partner_00004_ZF,['Partner_ERROR_CP_411'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_91,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_91
Partner_00002_BILSTEIN_93,,Partner_00004_ZF,['Partner_ERROR_CP_420'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_93,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_93
Partner_00002_BILSTEIN_95,,Partner_00004_ZF,['Partner_ERROR_CP_429'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_95,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_95
Partner_00002_BILSTEIN_97,,Partner_00004_ZF,['Partner_ERROR_CP_438'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_97,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_97
Partner_00002_BILSTEIN_99,,Partner_00004_ZF,['Partner_ERROR_CP_447'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_99,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_99
Partner_00002_BILSTEIN_101,,Partner_00004_ZF,['Partner_ERROR_CP_456'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_101,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_101
Partner_00002_BILSTEIN_103,,Partner_00004_ZF,['Partner_ERROR_CP_465'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_103,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_103
Partner_00002_BILSTEIN_105,,Partner_00004_ZF,['Partner_ERROR_CP_474'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_105,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_105
Partner_00002_BILSTEIN_107,,Partner_00004_ZF,['Partner_ERROR_CP_483'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_107,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_107
Partner_00002_BILSTEIN_109,,Partner_00004_ZF,['Partner_ERROR_CP_492'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_109,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_109
Partner_00002_BILSTEIN_111,,Partner_00004_ZF,['Partner_ERROR_CP_501'],Partner_00002_BILSTEIN,Partner_00002_BILSTEIN_111,Valve,Valve,18592,18592,DE,2021-06-01,False,,,Partner_00002_BILSTEIN_111
